timestamp,product,process,wip,production,active_eqp,target_eqp,plan,produced_sum,total_changeovers
0,ProductA,Step_10,54.0,6.0,1.0,0.0,60.0,6.0,0
0,ProductA,Step_20,58.5,7.5,1.0,0.0,60.0,7.5,0
0,ProductA,Step_30,7.5,0.0,0.0,0.0,60.0,0.0,0
1,ProductA,Step_10,48.0,6.0,1.0,0.0,60.0,12.0,0
1,ProductA,Step_20,57.0,7.5,1.0,0.0,60.0,15.0,0
1,ProductA,Step_30,15.0,0.0,0.0,0.0,60.0,0.0,0
2,ProductA,Step_10,42.0,6.0,1.0,0.0,60.0,18.0,0
2,ProductA,Step_20,55.5,7.5,1.0,0.0,60.0,22.5,0
2,ProductA,Step_30,22.5,0.0,0.0,0.0,60.0,0.0,0
3,ProductA,Step_10,36.0,6.0,1.0,0.0,60.0,24.0,0
3,ProductA,Step_20,54.0,7.5,1.0,0.0,60.0,30.0,0
3,ProductA,Step_30,30.0,0.0,0.0,0.0,60.0,0.0,0
4,ProductA,Step_10,30.0,6.0,1.0,0.0,60.0,30.0,0
4,ProductA,Step_20,52.5,7.5,1.0,0.0,60.0,37.5,0
4,ProductA,Step_30,37.5,0.0,0.0,0.0,60.0,0.0,0
5,ProductA,Step_10,30.0,0.0,0.0,0.0,60.0,30.0,1
5,ProductA,Step_20,45.0,7.5,1.0,0.0,60.0,45.0,1
5,ProductA,Step_30,45.0,0.0,1.0,0.0,60.0,0.0,1
6,ProductA,Step_10,30.0,0.0,0.0,0.0,60.0,30.0,1
6,ProductA,Step_20,37.5,7.5,1.0,0.0,60.0,52.5,1
6,ProductA,Step_30,42.5,10.0,1.0,0.0,60.0,10.0,1
7,ProductA,Step_10,30.0,0.0,0.0,0.0,60.0,30.0,1
7,ProductA,Step_20,30.0,7.5,1.0,0.0,60.0,60.0,1
7,ProductA,Step_30,40.0,10.0,1.0,0.0,60.0,20.0,1
8,ProductA,Step_10,30.0,0.0,0.0,0.0,60.0,30.0,1
8,ProductA,Step_20,22.5,7.5,1.0,0.0,60.0,67.5,1
8,ProductA,Step_30,37.5,10.0,1.0,0.0,60.0,30.0,1
9,ProductA,Step_10,30.0,0.0,0.0,0.0,60.0,30.0,1
9,ProductA,Step_20,15.0,7.5,1.0,0.0,60.0,75.0,1
9,ProductA,Step_30,35.0,10.0,1.0,0.0,60.0,40.0,1
10,ProductA,Step_10,30.0,0.0,1.0,0.0,60.0,30.0,2
10,ProductA,Step_20,15.0,0.0,0.0,0.0,60.0,75.0,2
10,ProductA,Step_30,25.0,10.0,1.0,0.0,60.0,50.0,2
11,ProductA,Step_10,24.0,6.0,1.0,0.0,60.0,36.0,2
11,ProductA,Step_20,21.0,0.0,0.0,0.0,60.0,75.0,2
11,ProductA,Step_30,15.0,10.0,1.0,0.0,60.0,60.0,2
12,ProductA,Step_10,18.0,6.0,1.0,0.0,60.0,42.0,2
12,ProductA,Step_20,27.0,0.0,0.0,0.0,60.0,75.0,2
12,ProductA,Step_30,5.0,10.0,1.0,0.0,60.0,70.0,2
13,ProductA,Step_10,18.0,0.0,0.0,0.0,60.0,42.0,3
13,ProductA,Step_20,27.0,0.0,1.0,0.0,60.0,75.0,3
13,ProductA,Step_30,0.0,5.0,1.0,0.0,60.0,75.0,3
14,ProductA,Step_10,18.0,0.0,1.0,0.0,60.0,42.0,4
14,ProductA,Step_20,27.0,0.0,0.0,0.0,60.0,75.0,4
14,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,4
15,ProductA,Step_10,18.0,0.0,0.0,0.0,60.0,42.0,5
15,ProductA,Step_20,27.0,0.0,1.0,0.0,60.0,75.0,5
15,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,5
16,ProductA,Step_10,18.0,0.0,1.0,0.0,60.0,42.0,6
16,ProductA,Step_20,27.0,0.0,0.0,0.0,60.0,75.0,6
16,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,6
17,ProductA,Step_10,18.0,0.0,0.0,0.0,60.0,42.0,7
17,ProductA,Step_20,27.0,0.0,1.0,0.0,60.0,75.0,7
17,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,7
18,ProductA,Step_10,18.0,0.0,1.0,0.0,60.0,42.0,8
18,ProductA,Step_20,27.0,0.0,0.0,0.0,60.0,75.0,8
18,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,8
19,ProductA,Step_10,18.0,0.0,0.0,0.0,60.0,42.0,9
19,ProductA,Step_20,27.0,0.0,1.0,0.0,60.0,75.0,9
19,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,9
20,ProductA,Step_10,18.0,0.0,1.0,0.0,60.0,42.0,10
20,ProductA,Step_20,27.0,0.0,0.0,0.0,60.0,75.0,10
20,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,10
21,ProductA,Step_10,18.0,0.0,0.0,0.0,60.0,42.0,11
21,ProductA,Step_20,27.0,0.0,1.0,0.0,60.0,75.0,11
21,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,11
22,ProductA,Step_10,18.0,0.0,1.0,0.0,60.0,42.0,12
22,ProductA,Step_20,27.0,0.0,0.0,0.0,60.0,75.0,12
22,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,12
23,ProductA,Step_10,18.0,0.0,0.0,0.0,60.0,42.0,13
23,ProductA,Step_20,27.0,0.0,1.0,0.0,60.0,75.0,13
23,ProductA,Step_30,0.0,0.0,1.0,0.0,60.0,75.0,13
