timestamp,product,process,wip,production,active_eqp,target_eqp,plan,produced_sum,total_changeovers
0,ProductA,Step_10,108.0,12.0,2.0,0.0,120.0,12.0,0
0,ProductA,Step_20,124.5,7.5,1.0,0.0,120.0,7.5,0
0,ProductA,Step_30,7.5,0.0,0.0,0.0,120.0,0.0,0
1,ProductA,Step_10,96.0,12.0,2.0,0.0,120.0,24.0,0
1,ProductA,Step_20,129.0,7.5,1.0,0.0,120.0,15.0,0
1,ProductA,Step_30,15.0,0.0,0.0,0.0,120.0,0.0,0
2,ProductA,Step_10,84.0,12.0,2.0,0.0,120.0,36.0,0
2,ProductA,Step_20,133.5,7.5,1.0,0.0,120.0,22.5,0
2,ProductA,Step_30,22.5,0.0,0.0,0.0,120.0,0.0,0
3,ProductA,Step_10,78.0,6.0,1.0,0.0,120.0,42.0,1
3,ProductA,Step_20,132.0,7.5,1.0,0.0,120.0,30.0,1
3,ProductA,Step_30,30.0,0.0,1.0,0.0,120.0,0.0,1
4,ProductA,Step_10,72.0,6.0,1.0,0.0,120.0,48.0,1
4,ProductA,Step_20,130.5,7.5,1.0,0.0,120.0,37.5,1
4,ProductA,Step_30,27.5,10.0,1.0,0.0,120.0,10.0,1
5,ProductA,Step_10,66.0,6.0,1.0,0.0,120.0,54.0,1
5,ProductA,Step_20,129.0,7.5,1.0,0.0,120.0,45.0,1
5,ProductA,Step_30,25.0,10.0,1.0,0.0,120.0,20.0,1
6,ProductA,Step_10,60.0,6.0,1.0,0.0,120.0,60.0,1
6,ProductA,Step_20,127.5,7.5,1.0,0.0,120.0,52.5,1
6,ProductA,Step_30,22.5,10.0,1.0,0.0,120.0,30.0,1
7,ProductA,Step_10,54.0,6.0,1.0,0.0,120.0,66.0,1
7,ProductA,Step_20,126.0,7.5,1.0,0.0,120.0,60.0,1
7,ProductA,Step_30,20.0,10.0,1.0,0.0,120.0,40.0,1
8,ProductA,Step_10,48.0,6.0,1.0,0.0,120.0,72.0,1
8,ProductA,Step_20,124.5,7.5,1.0,0.0,120.0,67.5,1
8,ProductA,Step_30,17.5,10.0,1.0,0.0,120.0,50.0,1
9,ProductA,Step_10,42.0,6.0,1.0,0.0,120.0,78.0,1
9,ProductA,Step_20,123.0,7.5,1.0,0.0,120.0,75.0,1
9,ProductA,Step_30,15.0,10.0,1.0,0.0,120.0,60.0,1
10,ProductA,Step_10,36.0,6.0,1.0,0.0,120.0,84.0,1
10,ProductA,Step_20,121.5,7.5,1.0,0.0,120.0,82.5,1
10,ProductA,Step_30,12.5,10.0,1.0,0.0,120.0,70.0,1
11,ProductA,Step_10,30.0,6.0,1.0,0.0,120.0,90.0,1
11,ProductA,Step_20,120.0,7.5,1.0,0.0,120.0,90.0,1
11,ProductA,Step_30,10.0,10.0,1.0,0.0,120.0,80.0,1
12,ProductA,Step_10,24.0,6.0,1.0,0.0,120.0,96.0,1
12,ProductA,Step_20,118.5,7.5,1.0,0.0,120.0,97.5,1
12,ProductA,Step_30,7.5,10.0,1.0,0.0,120.0,90.0,1
13,ProductA,Step_10,18.0,6.0,1.0,0.0,120.0,102.0,1
13,ProductA,Step_20,117.0,7.5,1.0,0.0,120.0,105.0,1
13,ProductA,Step_30,5.0,10.0,1.0,0.0,120.0,100.0,1
14,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,2
14,ProductA,Step_20,109.5,7.5,2.0,0.0,120.0,112.5,2
14,ProductA,Step_30,2.5,10.0,1.0,0.0,120.0,110.0,2
15,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,2
15,ProductA,Step_20,94.5,15.0,2.0,0.0,120.0,127.5,2
15,ProductA,Step_30,7.5,10.0,1.0,0.0,120.0,120.0,2
16,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,2
16,ProductA,Step_20,79.5,15.0,2.0,0.0,120.0,142.5,2
16,ProductA,Step_30,12.5,10.0,1.0,0.0,120.0,130.0,2
17,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,2
17,ProductA,Step_20,64.5,15.0,2.0,0.0,120.0,157.5,2
17,ProductA,Step_30,17.5,10.0,1.0,0.0,120.0,140.0,2
18,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,2
18,ProductA,Step_20,49.5,15.0,2.0,0.0,120.0,172.5,2
18,ProductA,Step_30,22.5,10.0,1.0,0.0,120.0,150.0,2
19,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,2
19,ProductA,Step_20,34.5,15.0,2.0,0.0,120.0,187.5,2
19,ProductA,Step_30,27.5,10.0,1.0,0.0,120.0,160.0,2
20,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,2
20,ProductA,Step_20,19.5,15.0,2.0,0.0,120.0,202.5,2
20,ProductA,Step_30,32.5,10.0,1.0,0.0,120.0,170.0,2
21,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,3
21,ProductA,Step_20,12.0,7.5,1.0,0.0,120.0,210.0,3
21,ProductA,Step_30,30.0,10.0,2.0,0.0,120.0,180.0,3
22,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,3
22,ProductA,Step_20,4.5,7.5,1.0,0.0,120.0,217.5,3
22,ProductA,Step_30,17.5,20.0,2.0,0.0,120.0,200.0,3
23,ProductA,Step_10,18.0,0.0,0.0,0.0,120.0,102.0,3
23,ProductA,Step_20,0.0,4.5,1.0,0.0,120.0,222.0,3
23,ProductA,Step_30,2.0,20.0,2.0,0.0,120.0,220.0,3

--- Inference Summary (RL) ---
Scenario,scn#5
Plan Achievement Rate (Last Step),183.33%
Overall Equipment Utilization,95.28%
Total Equipment Changeovers,3
